x	y	x1	y1	x2	y2	x3	y3
-22.02	22.53	38.23	-36.84	-24.66	-143.12	-20.26	-142.27
-22.03	22.53	38.23	-36.84	-24.66	-143.12	26.97	-128.18
-20.04	22.53	47.24	-28.86	29.34	-151.12	74.98	-125.18
-20.04	22.53	47.24	-28.87	29.34	-151.12	74.98	-125.18
-18.04	22.53	54.25	-23.86	69.34	-147.12	115.98	-125.19
-19.03	18.54	50.25	-28.87	78.85	-146.15	122.99	-134.21
-19.02	18.55	50.26	-28.88	78.85	-146.15	123.01	-134.23
-27.01	12.55	37.25	-40.87	59.86	-156.14	106.01	-139.26
-27.01	12.55	37.24	-40.85	59.87	-156.14	106.02	-139.29
-26.01	14.54	38.25	-36.87	50.88	-156.13	96.04	-142.27
-25	14.55	40.23	-36.88	40.88	-156.13	86.04	-139.32
-25	14.55	40.21	-36.89	40.89	-156.13	86.04	-139.37
-28.98	14.57	36.24	-37.89	25.68	-158.81	72.06	-142.36
-28.98	14.57	36.26	-37.88	26.38	-159.51	72.07	-142.36
-31.97	14.57	34.26	-39.88	13.56	-160.23	62.07	-142.36
-32.99	14.58	32.27	-40.87	1.54	-160.2	50.06	-142.36
-33.01	14.58	32.28	-40.86	1.53	-160.16	50.05	-142.37
-34.01	14.58	28.28	-42.86	-4.47	-160.15	44.07	-142.38
-34.01	14.59	28.28	-42.86	-4.47	-160.13	44.08	-142.38
-32.04	13.59	24.3	-44.86	-15.46	-160.1	34.07	-142.39
-36.05	13.59	18.32	-47.87	-30.45	-160.06	19.92	-143.47
-36.05	13.59	18.34	-47.87	-30.45	-160.02	19.92	-143.47
-38.06	11.59	14.35	-50.87	-40.45	-158.02	9.91	-143.49
-38.07	11.59	14.37	-50.86	-40.46	-158.02	9.91	-143.51
-40.07	9.59	10.38	-52.88	-51.46	-156.03	-1.09	-143.49
-42.07	6.6	6.39	-56.88	-64.47	-154.04	-15.09	-143.48
-42.06	6.6	6.4	-56.89	-64.48	-154.04	-15.1	-143.46
-41.07	5.6	4.41	-60.89	-74.49	-152.05	-26.08	-143.46
-41.07	5.6	4.41	-60.88	-74.49	-152.05	-26.07	-143.46
-42.07	1.6	1.4	-65.89	-86.71	-146.94	-37.07	-143.48
-44.06	3.59	-2.62	-65.9	-93.18	-142	-48.06	-143.5
-44.06	3.58	-2.65	-65.9	-93.18	-142	-48.05	-143.53
-44.06	5.58	-6.66	-65.86	-102.18	-134.02	-59.05	-143.53
-46.04	5.59	-10.65	-65.82	-109.18	-130.02	-68.06	-143.53
-46.02	5.6	-10.65	-65.78	-109.18	-130.02	-68.06	-143.54
-47.99	7.61	-12.65	-65.74	-115.16	-126.02	-77.06	-143.55
-48.96	7.61	-12.66	-65.69	-115.17	-126.02	-77.06	-143.56
-47.97	7.6	-12.67	-64.69	-119.15	-122.02	-84.06	-143.57
-45.95	8.61	-9.67	-59.69	-117.15	-116.02	-93.06	-143.58
-45.93	8.61	-9.67	-59.69	-117.14	-116.02	-93.05	-143.59
-41.92	11.62	-3.65	-52.7	-115.7	-102.11	-94.04	-136.61
-41.9	11.62	-3.65	-52.7	-115	-99.29	-94.04	-136.6
-40.88	13.63	-0.65	-50.68	-112.01	-95.97	-80.03	-132.59
-38.88	17.61	6.35	-48.65	-100.01	-103.98	-53.62	-127.28
-38.88	17.6	6.35	-48.65	-100.01	-103.98	-52.92	-130.8
-38.88	17.6	24.35	-41.65	-67.01	-111.94	-1.59	-131.71
-38.88	17.6	24.34	-41.65	-67.01	-111.94	2.64	-127.48
-33.88	19.59	38.35	-32.66	8.66	-150.97	51.36	-128.88
-29.87	19.6	50.37	-22.64	57.68	-144.54	96.37	-119.88
-29.87	19.6	50.38	-22.62	57.68	-144.54	96.38	-119.88
-31.89	15.6	50.37	-26.61	85.68	-144.52	127.38	-128.83
-31.91	15.59	50.36	-26.6	85.68	-144.51	127.39	-128.78
-33.91	11.59	39.35	-37.6	65.45	-157.19	110.4	-140.79
-37.89	11.59	35.35	-37.6	54.46	-157.24	101.39	-142.76
-37.87	11.59	35.35	-37.59	54.47	-157.28	101.37	-142.73
-33.87	15.58	38.35	-35.59	45.45	-158.28	91.36	-142.7
-33.87	15.58	38.36	-35.59	45.44	-158.28	91.34	-142.68
-37.84	16.58	37.35	-36.58	31.43	-159.27	77.33	-142.67
-39.8	17.59	34.36	-36.58	20.42	-159.27	66.33	-142.66
-39.76	17.6	34.36	-36.59	20.42	-159.26	66.33	-142.65
-39.73	17.61	31.36	-38.6	9.42	-159.26	55.34	-142.64
-39.71	17.62	31.37	-38.61	9.42	-159.26	55.36	-142.63
-37.68	19.62	26.37	-40.63	-4.6	-159.25	41.37	-142.64
-36.67	17.62	22.39	-43.63	-16.58	-157.28	31.36	-142.65
-36.67	17.61	22.4	-43.63	-16.57	-157.31	31.35	-142.65
-38.68	15.61	19.39	-45.63	-26.57	-157.33	21.34	-142.67
-41.67	13.61	14.4	-48.63	-39.58	-157.32	9.32	-142.69
-41.67	13.61	14.4	-48.63	-39.58	-157.31	9.3	-142.71
-43.66	11.61	10.43	-52.63	-53.58	-155.31	-5.7	-142.73
-43.66	11.6	10.45	-52.64	-53.57	-155.3	-5.71	-142.75
-44.65	8.61	8.48	-56.63	-63.57	-153.3	-16.7	-142.78
-44.65	6.61	6.46	-60.64	-72.58	-153.28	-26.71	-142.82
-44.65	6.6	6.44	-60.65	-72.59	-153.26	-26.71	-142.86
-46.65	4.61	1.44	-62.65	-82.6	-149.26	-37.71	-142.91
-46.65	4.61	1.44	-62.64	-82.61	-149.26	-37.7	-142.96
-49.65	6.62	-4.56	-62.61	-95.84	-140.09	-49.29	-142.78
-52.64	6.63	-8.57	-62.59	-103.85	-136.06	-58.29	-142.76
-52.62	6.64	-8.58	-62.57	-103.85	-136.02	-58.3	-142.75
-47.63	10.62	-12.6	-62.54	-111.86	-132	-69.3	-142.74
-47.63	10.61	-12.62	-62.51	-111.87	-131.99	-69.3	-142.74
-48.64	10.6	-15.61	-62.48	-117.86	-127.99	-78.3	-142.75
-50.65	10.6	-18.63	-61.49	-124.86	-123.98	-88.3	-142.74
